iter	Passed	Remaining
0	2	279
1	5	249
2	7	233
3	8	203
4	10	197
5	12	193
6	14	187
7	15	182
8	17	180
9	19	177
10	21	174
11	23	172
12	25	170
13	27	167
14	29	164
15	30	162
16	32	159
17	34	157
18	36	154
19	37	151
20	39	148
21	41	146
22	43	144
23	44	141
24	46	139
25	47	136
26	49	134
27	51	131
28	52	129
29	54	127
30	56	124
31	57	122
32	59	120
33	61	119
34	63	117
35	64	115
36	66	113
37	68	111
38	70	109
39	71	107
40	73	105
41	74	102
42	75	100
43	77	98
44	79	96
45	80	95
46	82	93
47	84	91
48	85	89
49	87	87
50	89	86
51	91	84
52	92	82
53	94	80
54	95	78
55	97	76
56	98	74
57	100	72
58	102	70
59	103	69
60	105	67
61	107	65
62	109	64
63	110	62
64	112	60
65	113	58
66	115	56
67	116	55
68	118	53
69	120	51
70	121	49
71	123	48
72	125	46
73	127	44
74	129	43
75	130	41
76	132	39
77	134	38
78	136	36
79	138	34
80	140	33
81	142	31
82	144	29
83	146	27
84	148	26
85	150	24
86	151	22
87	153	20
88	155	19
89	157	17
90	158	15
91	160	13
92	162	12
93	164	10
94	166	8
95	167	6
96	169	5
97	170	3
98	172	1
99	174	0
